"Price","Living.Area","Bathrooms","Fireplaces","Lot.Size","Age"
142212,1982,1,0,2,133
134865,1676,1.5,1,0.38,14
118007,1694,2,1,0.96,15
138297,1800,1,2,0.48,49
129470,2088,1,1,1.84,29
206512,1456,2,0,0.98,10
50709,960,1.5,0,NA,12
108794,1464,1,0,0.11,87
68353,1216,1,0,0.61,101
123266,1632,1.5,0,0.23,14
309808,2270,2.5,2,4.05,9
157946,1804,2.5,1,0.43,0
80248,1600,1.5,0,0.36,16
135708,1460,2,0,0.18,17
173723,1548,2,1,0.36,0
140510,1590,2.5,1,0.42,0
122221,1170,1.5,0,3,26
151917,1510,2.5,1,0.39,0
235105,2299,2.5,1,0.8,6
259999,2577,2.5,1,0.77,1
211517,2328,2.5,1,0.85,10
102068,1172,2.5,1,0.85,73
128440,1554,1.5,0,4.87,103
115659,1242,2,1,0.72,30
145583,1376,2,1,0.46,25
116289,1107,1,1,0.46,43
238792,2250,2.5,1,2.48,10
221925,2472,2,0,0.62,183
310696,2843,2.5,1,0.71,5
139079,1400,1.5,1,1,35
109578,1342,1,1,0.57,41
65325,813,1,0,0.39,68
89893,1480,2.5,1,0.29,14
87588,1392,1,0,0.24,17
132311,1512,1.5,1,0.25,13
131411,1512,1.5,1,0.05,13
158863,1696,2.5,1,0.71,5
130490,1595,2,1,0.22,6
88207,1480,1.5,0,0.07,14
178767,2291,2.5,1,0.1,0
148246,1391,2,0,0.04,12
205073,2501,2.5,0,0.07,0
185323,1662,2,0,0.5,0
71904,957,1,0,0.19,45
82556,1480,1.5,1,0.1,14
199684,2275,2.5,0,2.17,0
122221,1440,1,1,2.12,32
81762,1008,1,0,0.33,41
84291,1480,2.5,1,0.07,14
206512,2116,2.5,1,2.17,0
105363,1100,1,1,0.2,93
45004,960,1,0,0.54,11
62105,1228,1,0,0.31,53
103508,1560,1.5,1,0.88,16
157513,2164,2,1,0.69,183
79893,2634,2.5,0,0.24,83
88770,1000,1,0,0.52,91
115312,912,1,0,0.46,14
118952,1572,1.5,0,1.61,16
103861,1700,1,1,0.46,25
112649,1350,1.5,0,0.46,26
127385,1416,1.5,0,0.37,11
153129,1560,2,1,1,4
143808,1572,1.5,0,0.46,7
133067,1326,2,0,0.46,7
226742,1989,2,1,1,247
98652,1158,1.5,0,0.86,14
111394,1272,1.5,0,0.34,1
101418,1852,2,1,0.92,37
139219,2308,3,0,0.45,5
115248,1700,2,0,0.69,15
99574,1628,1.5,1,0.32,30
224818,2738,2.5,1,0.76,12
108459,1292,1.5,0,0.34,25
107919,1056,2,0,0.52,7
45904,1328,1,0,0.19,103
83617,1272,1.5,0,0.19,115
154723,1944,2.5,0,2.13,0
101258,1232,1,1,0.72,43
118949,1164,2,0,0.52,5
128717,1215,1.5,0,0.23,41
136379,1486,2.5,0,0.38,0
124367,1272,1.5,0,0.34,1
62938,1064,1,0,0.13,95
172016,1547,2,0,0.72,11
106524,1148,1,0,0.35,7
147412,1821,2.5,0,1,0
111221,1056,1,0,0.81,27
75862,995,1,0,0.38,47
109578,1176,2,0,0.64,5
119166,912,1,0,0.11,68
185318,1500,1.5,2,0.58,208
104749,1852,1,0,0.1,147
44674,1214,1,0,0.14,103
80540,1380,1.5,0,0.13,0
93773,1324,1.5,0,0.19,5
109999,1218,1.5,1,1.43,0
16858,1629,1,0,0.76,180
114326,1053,1,1,1,41
106524,1308,1,0,1.35,17
160995,1344,1.5,1,4,15
139079,1608,1,1,0.44,63
59003,3285,2,0,0.42,233
147425,1582,1.5,0,0.35,11
144695,1642,2,1,0.4,11
130229,1248,2,0,0.35,11
119840,1411,1,1,0.38,48
129723,1593,1,1,1.8,63
133595,1666,2.5,1,0.2,1
126311,1471,2.5,0,0.08,4
167693,1876,2.5,1,0.34,1
103958,1486,1.5,0,0.1,16
155488,1747,2.5,0,0.36,1
152112,1512,2.5,1,0.36,18
228619,2527,2.5,1,0.46,1
139435,1666,2.5,0,0.19,0
161923,1456,2,1,0.75,1
261011,3015,2.5,1,0.46,1
120115,967,2,0,1.2,55
153013,1720,2,1,0.72,31
298923,3515,2.5,1,0.51,0
271791,2815,2.5,1,0.48,1
126498,720,1,0,1,113
267731,3001,2.5,1,0.66,0
181979,1822,2.5,1,0.47,4
145663,1666,2.5,1,0.2,1
128273,1343,2.5,1,0.12,15
106524,1144,1,1,0.18,16
101997,1214,1.5,0,NA,17
110963,1888,1,1,0.47,18
147625,1668,2,0,0.19,16
466044,3853,2.5,1,0.54,5
116321,1486,1.5,0,0.1,16
194880,2278,2.5,1,0.45,0
143294,1360,1,0,0.92,53
